anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
Diabolik Lovers,https://www.crunchyroll.com/diabolik-lovers ,12,2.99,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dr. STONE,https://www.crunchyroll.com/dr-stone ,25,4.65,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Berserk,https://www.crunchyroll.com/berserk ,26,3.51,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mob Psycho 100,https://www.crunchyroll.com/mob-psycho-100 ,54,4.82,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
In Another World With My Smartphone,https://www.crunchyroll.com/in-another-world-with-my-smartphone ,24,3.46,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Yona of the Dawn,https://www.crunchyroll.com/yona-of-the-dawn ,24,4.79,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Rascal Does Not Dream of Bunny Girl Senpai,https://www.crunchyroll.com/rascal-does-not-dream-of-bunny-girl-senpai ,13,4.88,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Free! Iwatobi Swim Club,https://www.crunchyroll.com/free-iwatobi-swim-club ,49,4.64,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ReLIFE,https://www.crunchyroll.com/relife ,17,4.85,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailor Moon Crystal,https://www.crunchyroll.com/sailor-moon-crystal ,39,4.45,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Isekai Cheat Magician,https://www.crunchyroll.com/isekai-cheat-magician ,12,2.13,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Irregular at Magic High School,https://www.crunchyroll.com/the-irregular-at-magic-high-school ,26,4.18,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
THE PROMISED NEVERLAND,https://www.crunchyroll.com/the-promised-neverland ,12,4.91,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1
Miss Kobayashi's Dragon Maid,https://www.crunchyroll.com/miss-kobayashis-dragon-maid ,28,4.72,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
